label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
127,36.0832469,140.0759909,-37.45821808974497,21.343678777172723,0.1866439208247628,0,0,0.1691482827759529,-0.98549079652737,0,0,0,0,1,-1,-34.618329768975855,27.028372364864964,-34.79975851191856,25.44892008935117,6.354581564539878,1.5898383186322709
128,36.0832264,140.0760249,-33.92003334299536,19.320741158023235,0.1933968060020041,0,0,0.2156472204278527,-0.9763629524340312,0,0,0,0,1,-1,-31.559537637722443,24.74632280382767,-31.513462828326613,23.038258646280678,5.916829908819574,1.7086854755506031
129,36.0832049,140.0760633,-30.15839659328144,17.940972714222326,0.2102594467739935,0,0,0.0026495670282774,-0.999977446312752,0,0,0,0,1,-1,-28.10490181937637,22.352953751487185,-27.93230653701024,21.241319133533448,4.866458410347318,1.1249536236344118
130,36.083189,140.0761092,-26.23713986094668,16.988917872315614,0.1808229147989849,0,0,0.2758751050330851,-0.960993958673153,0,0,0,0,1,-1,-23.97553244180072,20.582973847755262,-24.144113789983635,19.85126212238113,4.246422785466551,0.7508806296643701
131,36.0831663,140.07614329999998,-22.93133476351005,14.71338059798518,0.2534059097655843,0,0,0.2612854961465015,-0.9650164952680962,0,0,0,0,1,-1,-20.90774386363639,18.05602140648373,-21.11731231850389,17.215946186605454,3.907450281793913,0.8658206005455659
132,36.0831581,140.0761865,-18.914197872388563,14.614132657589666,0.172742142697771,0,0,-0.2065637526586084,-0.9784283151546496,0,0,0,0,1,-1,-17.021278565440106,17.143201582385196,-17.137265967004126,16.6623488640005,3.159008250857323,0.4946437244113435
133,36.0831551,140.0762321,-14.834240554718509,14.678746425774284,0.1343768258326136,0,0,0.0063379032867744,-0.9998507722256676,0,0,0,0,1,-1,-12.91889853115414,16.80924311005757,-13.076244160191608,16.264443677251652,2.864882404039252,0.5670661945159888
134,36.0831621,140.0762776,-10.74467708739984,14.956796310165837,0.0955822439750997,0,0,0.0260031955030344,-0.999626044376686,0,0,0,0,1,-1,-8.825514943779085,17.588479545225045,-8.981503865779283,16.07751317478164,3.257136776863801,1.5189970100028842
135,36.0831485,140.0763105,-7.645379706813316,13.435876930944543,0.063689064624592,0,0,0.5225076170371104,-0.8523990190283658,0,0,0,0,1,-1,-5.865683733659602,16.074534470936783,-6.074411915105862,14.215348734746554,3.182739601383915,1.8708658571322168
136,36.0831055,140.07631709999998,-6.391237862115752,9.632508370566264,0.0830923502675681,0,0,0.6394356944466403,-0.7686186318352284,0,0,0,0,1,-1,-5.2719182042990775,11.287796366255812,-5.259116489815768,10.294407834631327,1.9982129128420625,0.993471015509138
137,36.083066,140.0763213,-5.487259384976804,5.708868031830343,0.0766211286437696,0,0,0.6269995997339194,-0.7787724128678257,0,0,0,0,1,-1,-4.89406741102824,6.8906764799495495,-4.805353388941998,6.293629205017888,1.3223267092526425,0.603602208592746
138,36.0830268,140.0763261,-4.478115158273522,1.8285799707378607,0.09096422839119,0,0,0.5947784599839008,-0.8037111624834585,0,0,0,0,1,-1,-4.46223793373498,2.526952441271538,-4.242191105310726,2.324012630379902,0.6985529284587952,0.2993412326164005
139,36.0829943,140.0763442,-2.2326029354895973,-1.5212167753263834,0.0824204699954156,0,0,0.4112243156390373,-0.911367371056505,0,0,0,0,1,-1,-2.833880945695871,-1.0909310098672462,-2.3905322439410024,-1.2585594685073729,0.7393788511408557,0.4739803492696634
